time_worker_0,idle_time_0,heavy_0,time_worker_1,idle_time_1,heavy_1,time_worker_2,idle_time_2,heavy_2,time_worker_3,idle_time_3,heavy_3,total_chunk_time,total_idle,total_heavy
0.0138581,0.0013464997,101,0.0143372,0.0008674003,123,0.0129318,0.0022727996,101,0.012629,0.0025756005,99,0.0152046,0.0070623,424
0.0122382,0.0014885003,86,0.0117274,0.0019993,84,0.0128387,0.00088800024,104,0.0122594,0.0014672996,99,0.0137267,0.0058431,373
0.0129065,0.0013379995,92,0.0122178,0.0020266995,82,0.0127027,0.0015417999,89,0.0134137,0.00083079934,109,0.0142445,0.005737298,372
0.0142853,0.0020889994,112,0.0129103,0.0034639994,88,0.0144344,0.0019398993,94,0.0138908,0.0024834992,111,0.0163743,0.009976397,405
0.0137506,0.0013324004,110,0.0130003,0.0020827,91,0.0126108,0.0024722004,79,0.0141244,0.0009586001,123,0.015083,0.006845901,403
0.0139657,0.0026319996,107,0.0129989,0.003598799,84,0.0134323,0.0031653997,101,0.0135118,0.0030858992,100,0.0165977,0.012482097,392
0.0129604,0.0020144992,108,0.0135602,0.0014146995,110,0.0133021,0.0016727997,115,0.0123831,0.0025918,87,0.0149749,0.0076937983,420
0.0124125,0.0033720005,91,0.0125215,0.0032630004,105,0.0124881,0.0032964004,94,0.0128659,0.0029186,115,0.0157845,0.012850001,405
0.0139193,0.0024447003,127,0.0134761,0.002887901,103,0.0130978,0.0032662004,101,0.0127307,0.0036333008,99,0.016364,0.012232102,430
0.0135656,0.0033381004,94,0.0136204,0.0032833004,104,0.014228,0.0026757,95,0.014236,0.0026677,109,0.0169037,0.011964801,402
0.0134079,0.0014279,98,0.0130942,0.0017416002,106,0.0125849,0.0022509005,91,0.0142766,0.0005591996,116,0.0148358,0.0059796004,411
0.0128304,0.0026567997,100,0.0130614,0.0024258,106,0.0127682,0.002719,106,0.0130817,0.0024055,93,0.0154872,0.0102071,405
0.0130665,0.0017939992,114,0.0132399,0.0016206,112,0.0131126,0.0017478997,108,0.0121084,0.0027520992,94,0.0148605,0.007914598,428
0.0120471,0.0021324,96,0.0123602,0.0018192995,96,0.0125979,0.0015815999,102,0.0126092,0.0015703002,104,0.0141795,0.0071035996,398
0.0128549,0.0028492995,105,0.0129755,0.0027286997,109,0.0128039,0.0029002996,104,0.0126846,0.0030195992,101,0.0157042,0.011497898,419
0.0125829,0.0022424003,86,0.0123366,0.0024887007,102,0.0134404,0.0013849,116,0.0127944,0.0020309007,108,0.0148253,0.008146902,412
0.013429,0.0012750002,118,0.012483,0.0022210004,92,0.0136469,0.0010571005,114,0.0127907,0.0019132998,104,0.014704,0.006466401,428
0.0134705,0.0014257999,103,0.0126931,0.0022032,81,0.012834,0.0020622993,93,0.0134451,0.0014511999,102,0.0148963,0.007142499,379
0.0127632,0.0020260997,111,0.0127373,0.0020519998,102,0.0124978,0.0022914996,98,0.0126515,0.0021377997,105,0.0147893,0.008507399,416
0.0121358,0.0021539005,94,0.0123224,0.0019673007,95,0.0127862,0.0015035002,102,0.0128338,0.0014559003,103,0.0142897,0.0070806015,394
0.0132866,0.0010486003,108,0.013201,0.0011342,103,0.0122166,0.0021186005,85,0.0124977,0.0018375004,101,0.0143352,0.006138901,397
0.0125961,0.0015280005,95,0.0125829,0.0015412001,95,0.0122197,0.0019044001,95,0.012217,0.0019071,92,0.0141241,0.0068807006,377
0.0141832,0.0018180003,102,0.0136555,0.0023457007,99,0.0134955,0.0025057,114,0.0137758,0.0022254,92,0.0160012,0.008894801,407
0.0140841,0.0015187999,115,0.0133116,0.0022912994,99,0.0142945,0.0013083993,130,0.0135526,0.0020503001,107,0.0156029,0.0071687987,451
0.013589,0.0011043996,103,0.0132414,0.0014519999,101,0.0126098,0.0020835996,88,0.0129477,0.0017456999,96,0.0146934,0.006385699,388
0.0128079,0.0019886,104,0.0124512,0.0023453003,100,0.0127883,0.0020081997,108,0.0121572,0.0026393002,91,0.0147965,0.0089814,403
0.0132184,0.0019661002,104,0.0129776,0.0022069002,100,0.0130249,0.0021596001,109,0.0132947,0.0018898007,103,0.0151845,0.008222401,416
0.013107,0.0021054,87,0.0133442,0.0018681996,108,0.0126581,0.0025543002,92,0.0136608,0.0015516002,97,0.0152124,0.0080795,384
0.0130045,0.0022244994,93,0.0136713,0.0015576994,112,0.0126154,0.0026135994,99,0.0126329,0.0025960999,93,0.015229,0.008991898,397
0.0140046,0.0028340993,104,0.0142241,0.0026145997,110,0.0133006,0.0035380991,105,0.0144385,0.0024001999,113,0.0168387,0.011386998,432
0.0135352,0.0023154002,109,0.0134126,0.0024379995,110,0.0125951,0.0032554995,86,0.0132687,0.0025819,105,0.0158506,0.010590799,410
0.0128346,0.0023492994,113,0.0122989,0.0028849998,102,0.0134095,0.0017743995,110,0.012235,0.0029488998,98,0.0151839,0.0099575985,423
0.0140734,0.0004080003,102,0.0124338,0.0020476002,82,0.0132992,0.0011822004,88,0.0129448,0.0015366003,84,0.0144814,0.005174401,356
0.0132377,0.0010147002,114,0.0125425,0.0017098999,98,0.0123714,0.0018809997,93,0.0129718,0.0012806002,102,0.0142524,0.0058862,407
0.0124321,0.0019808998,95,0.0128694,0.0015436001,108,0.0114108,0.0030022003,84,0.0123953,0.0020177,106,0.014413,0.0085444,393
0.0131807,0.0019667996,106,0.0131055,0.0020420002,96,0.0125695,0.0025779996,90,0.0130484,0.0020990996,103,0.0151475,0.008685899,395
0.0127699,0.0016554995,108,0.0133714,0.0010540001,103,0.0123004,0.0021249996,97,0.0130815,0.0013438994,104,0.0144254,0.0061783986,412
0.0118798,0.0018213,96,0.0120351,0.0016660001,88,0.0117943,0.0019068001,81,0.0116444,0.0020567002,91,0.0137011,0.0074508004,356
0.013399,0.0017996999,97,0.0138079,0.0013907999,107,0.0129659,0.0022328002,86,0.0130659,0.0021328004,81,0.0151987,0.0075561004,371
0.0129925,0.0015752995,102,0.0133607,0.0012071002,117,0.0119822,0.0025856001,94,0.0124113,0.0021564998,104,0.0145678,0.0075244997,417
0.0115981,0.0026088003,87,0.0130327,0.0011742003,118,0.0120279,0.0021790005,103,0.0123703,0.0018366007,101,0.0142069,0.007798602,409
