time_worker_0,idle_time_0,heavy_0,time_worker_1,idle_time_1,heavy_1,time_worker_2,idle_time_2,heavy_2,time_worker_3,idle_time_3,heavy_3,total_chunk_time,total_idle,total_heavy
0.0140038,0.0025369003,100,0.0129459,0.0035948008,100,0.0129916,0.0035491008,100,0.0140881,0.0024526007,100,0.0165407,0.012133403,400
0.0131378,0.0033451011,100,0.0158409,0.0006420016,100,0.0131298,0.0033531012,100,0.0136732,0.0028097006,100,0.0164829,0.0101499045,400
0.0166542,0.00064109825,100,0.013882,0.003413299,100,0.0138556,0.0034396993,100,0.0159798,0.0013154987,100,0.0172953,0.008809595,400
0.0144363,0.0025237007,100,0.0155203,0.0014397008,100,0.0153787,0.001581301,100,0.0144916,0.0024684006,100,0.01696,0.008013103,400
0.0146132,0.0011551008,100,0.0136945,0.0020738011,100,0.0135415,0.0022268007,100,0.015237,0.0005313009,100,0.0157683,0.0059870034,400
0.013521,0.0024199998,100,0.0135167,0.0024242997,100,0.0145845,0.0013564993,100,0.0136661,0.0022748997,100,0.015941,0.0084756985,400
0.0135355,0.0019018007,100,0.0133153,0.0021219999,100,0.0131366,0.0023007002,100,0.0131112,0.0023261001,100,0.0154373,0.008650601,400
0.0139051,0.0018318007,100,0.0142183,0.0015186006,100,0.0143279,0.0014090007,100,0.0134516,0.0022852998,100,0.0157369,0.007044702,400
0.0134444,0.003133799,100,0.0134404,0.003137799,100,0.0155667,0.0010114992,100,0.0152926,0.0012855995,100,0.0165782,0.008568697,400
0.0162681,0.0010422003,100,0.0133924,0.003917901,100,0.016034,0.0012763012,100,0.0146541,0.002656201,100,0.0173103,0.008892603,400
0.0142964,0.0034418004,100,0.0167713,0.00096690096,100,0.0138131,0.003925101,100,0.0139285,0.0038097007,100,0.0177382,0.012143503,400
0.0152341,0.0009892005,100,0.014007,0.0022163,100,0.0138027,0.0024206005,100,0.0144898,0.0017335005,100,0.0162233,0.0073596016,400
0.0139212,0.0019366993,100,0.0134201,0.0024377992,100,0.0134416,0.0024162997,100,0.0135259,0.0023319991,100,0.0158579,0.009122797,400
0.0151202,0.0014726995,100,0.0138882,0.0027046995,100,0.013596,0.0029968992,100,0.0151062,0.0014866991,100,0.0165929,0.008660997,400
0.0156217,0.0025710994,100,0.0165794,0.001613399,100,0.0155094,0.0026834002,100,0.0139786,0.0042142,100,0.0181928,0.011082099,400
0.0136149,0.0028082002,100,0.013239,0.0031841006,100,0.0134284,0.0029947003,100,0.0138959,0.0025272006,100,0.0164231,0.011514202,400
0.0161198,0.0016302988,100,0.0137366,0.0040134992,100,0.0136638,0.004086299,100,0.0144104,0.0033396995,100,0.0177501,0.013069796,400
0.0137979,0.0033957008,100,0.0137778,0.0034158006,100,0.0137779,0.003415701,100,0.0152573,0.0019363007,100,0.0171936,0.012163503,400
0.0171566,0.0013259016,100,0.0139345,0.004548001,100,0.0136669,0.004815601,100,0.0169755,0.001507001,100,0.0184825,0.0121965045,400
