time_worker_0,idle_time_0,heavy_0,time_worker_1,idle_time_1,heavy_1,time_worker_2,idle_time_2,heavy_2,time_worker_3,idle_time_3,heavy_3,total_chunk_time,total_idle,total_heavy
0.0197966,0.0035745986,101,0.0153902,0.007981,123,0.0141661,0.009205099,101,0.0162848,0.0070864,99,0.0233712,0.027847096,424
0.0126311,0.0036875997,86,0.0121787,0.004139999,84,0.0128567,0.003461999,104,0.0129482,0.0033704992,99,0.0163187,0.014660097,373
0.0123549,0.0039893994,92,0.0132913,0.0030529993,82,0.0132949,0.0030493997,89,0.0134057,0.0029385993,109,0.0163443,0.013030398,372
0.013825,0.0024508005,112,0.0122787,0.0039971005,88,0.0123266,0.0039492007,94,0.0134381,0.0028377008,111,0.0162758,0.0132348025,405
0.0135855,0.0027898997,110,0.0132661,0.0031093005,91,0.0122341,0.0041413,79,0.0146345,0.0017408999,123,0.0163754,0.0117814,403
0.0133836,0.0066309003,107,0.0193805,0.0006339997,84,0.0130761,0.0069384007,101,0.0140344,0.0059801005,100,0.0200145,0.020183401,392
0.0150556,0.00058790017,108,0.0130224,0.0026210994,110,0.0131432,0.0025002994,115,0.0128472,0.0027962998,87,0.0156435,0.008505599,420
0.0123863,0.0022329,91,0.0126899,0.0019292999,105,0.0124953,0.0021238998,94,0.0127921,0.0018270994,115,0.0146192,0.008113199,405
0.0141655,0.0013410002,127,0.0136816,0.0018249005,103,0.01323,0.0022765007,101,0.013258,0.0022485005,99,0.0155065,0.007690902,430
0.0132917,0.0015751999,94,0.0137027,0.0011641998,104,0.0128049,0.0020619994,95,0.0136367,0.0012301998,109,0.0148669,0.006031599,402
0.0124713,0.0018942002,98,0.013044,0.0013215002,106,0.0123702,0.0019953,91,0.01344,0.00092549995,116,0.0143655,0.0061365003,411
0.0125984,0.0020223996,100,0.012535,0.0020857994,106,0.0131119,0.0015089,106,0.012533,0.0020877998,93,0.0146208,0.0077048987,405
0.0135635,0.0010171998,114,0.0132237,0.0013569994,112,0.0132619,0.0013187993,108,0.0126415,0.0019391999,94,0.0145807,0.0056321984,428
0.0123127,0.0016185995,96,0.0124291,0.0015021991,96,0.0124383,0.0014929995,102,0.0125575,0.0013737995,104,0.0139313,0.0059875976,398
0.0129408,0.0032866,105,0.0129355,0.0032919003,109,0.0129118,0.0033155996,104,0.0126249,0.0036025,101,0.0162274,0.0134966,419
0.0119069,0.0047828993,86,0.0125653,0.0041245,102,0.0129621,0.0037276996,116,0.0127897,0.0039000995,108,0.0166898,0.016535198,412
0.0138951,0.0032224003,118,0.0127731,0.0043444,92,0.013569,0.0035485001,114,0.0135486,0.0035689007,104,0.0171175,0.014684201,428
0.0125731,0.0014672,103,0.0115975,0.0024427995,81,0.0121174,0.0019228999,93,0.012497,0.0015432993,102,0.0140403,0.0073761987,379
0.0132326,0.0028571002,111,0.0129498,0.0031399,102,0.0125337,0.003556,98,0.0133065,0.0027831998,105,0.0160897,0.0123362,416
0.0115325,0.0032353997,94,0.0116657,0.0031022,95,0.0123629,0.002405,102,0.0121984,0.0025695004,103,0.0147679,0.0113121,394
0.0121978,0.0020848997,108,0.0124145,0.0018681996,103,0.0113789,0.0029037995,85,0.0123011,0.0019815993,101,0.0142827,0.008838498,397
0.0128588,0.0019052001,95,0.0128501,0.0019138996,95,0.0128267,0.0019373,95,0.0123998,0.0023641996,92,0.014764,0.008120599,377
0.0120404,0.0019490998,102,0.0119096,0.0020798994,99,0.0129451,0.0010444,114,0.0117763,0.0022131996,92,0.0139895,0.007286599,407
0.0130186,0.0012012003,115,0.0124915,0.0017283,99,0.0130224,0.0011973996,130,0.0123197,0.0019001001,107,0.0142198,0.006027,451
0.015545,0.00061979983,103,0.0129515,0.0032133004,101,0.0121557,0.0040091006,88,0.0127063,0.0034585,96,0.0161648,0.011300701,388
0.013257,0.006350401,104,0.0129319,0.0066755004,100,0.013437,0.0061704004,108,0.0129995,0.0066079004,91,0.0196074,0.025804203,403
0.0130902,0.002883901,104,0.0128146,0.0031595007,100,0.0131624,0.002811701,109,0.0129807,0.0029934011,103,0.0159741,0.011848504,416
0.0131382,0.0032300996,87,0.0143873,0.0019809995,108,0.0131323,0.0032359995,92,0.0139523,0.0024159998,97,0.0163683,0.010863098,384
0.0131128,0.0029374007,93,0.0132158,0.002834401,112,0.0128469,0.0032033008,99,0.0132918,0.0027584005,93,0.0160502,0.011733503,397
0.0149492,0.0032153996,104,0.0138111,0.004353499,110,0.013346,0.0048185997,105,0.0142206,0.0039439993,113,0.0181646,0.016331498,432
0.0140284,0.0018908996,109,0.0137469,0.0021724002,110,0.0124692,0.0034500994,86,0.0135721,0.0023472002,105,0.0159193,0.009860599,410
0.0132073,0.0015399,113,0.0128215,0.0019256994,102,0.0131478,0.0015993994,110,0.0126805,0.0020666998,98,0.0147472,0.0071316985,423
0.0139671,0.0012962008,102,0.0127834,0.0024799006,82,0.0133126,0.0019507008,88,0.0128455,0.0024178,84,0.0152633,0.008144602,356
0.0131513,0.0038992995,114,0.0130247,0.0040259,98,0.0127076,0.0043429993,93,0.0131452,0.0039053997,102,0.0170506,0.016173597,407
0.0131454,0.0037306007,95,0.0130771,0.003798901,108,0.0123273,0.0045487005,84,0.0135787,0.003297301,106,0.016876,0.015375503,393
0.012793,0.0032648006,106,0.0124499,0.0036079008,96,0.0121261,0.0039317003,90,0.0123065,0.0037513003,103,0.0160578,0.014555702,395
