time_worker_0,idle_time_0,heavy_0,time_worker_1,idle_time_1,heavy_1,time_worker_2,idle_time_2,heavy_2,time_worker_3,idle_time_3,heavy_3,total_chunk_time,total_idle,total_heavy
0.0090897,0.00059940014,167,0.001238,0.0084511,0,0.001136,0.0085531,0,0.0012348,0.0084543,0,0.0096891,0.0260579,167
0.009169,4.879944e-05,167,0.0019537,0.0072640995,0,0.0013733,0.007844499,0,0.0036493,0.0055684997,0,0.0092178,0.020725898,167
0.0084352,9.6200034e-05,167,0.0011776,0.0073538,0,0.001164,0.0073674,0,0.0013798,0.0071516,0,0.0085314,0.021969,167
0.0075686,5.1799696e-05,167,0.0011154,0.006505,0,0.0011034,0.0065169996,0,0.0011371,0.0064832997,0,0.0076204,0.0195571,167
0.0086475,3.280025e-05,167,0.0012292,0.0074511,0,0.0011703,0.00751,0,0.0012255,0.0074548,0,0.0086803,0.0224487,167
0.0074296,3.1799544e-05,167,0.0011847,0.0062766997,0,0.0011575,0.0063039,0,0.0011709,0.0062905,0,0.0074614,0.018902898,167
0.0070419,8.030003e-05,167,0.0010619,0.0060603,0,0.0011037,0.0060185,0,0.001064,0.0060582003,0,0.0071222,0.0182173,167
0.0073731,3.8499944e-05,167,0.001155,0.0062566,0,0.0010927,0.0063189,0,0.001098,0.0063136,0,0.0074116,0.0189276,167
0.0072633,3.7299935e-05,167,0.0011027,0.0061979,0,0.0011309,0.0061697,0,0.0011034,0.0061972,0,0.0073006,0.0186021,167
0.007459,2.9999763e-05,167,0.001138,0.0063509997,0,0.0011821,0.0063068997,0,0.0011153,0.0063736998,0,0.007489,0.019061599,167
0.0076297,3.3999793e-05,167,0.0010725,0.0065912,0,0.0011057,0.0065579996,0,0.0010709,0.0065928,0,0.0076637,0.019775998,167
0.0080713,0.000115600415,167,0.0012014,0.0069855,0,0.0012433,0.0069436003,0,0.0012723,0.0069146,0,0.0081869,0.020959299,167
0.0072906,4.1299965e-05,167,0.0010961,0.0062357998,0,0.0011147,0.0062172,0,0.0011106,0.0062213,0,0.0073319,0.0187156,167
0.0072646,3.649993e-05,167,0.0011142,0.0061869,0,0.0010813,0.0062198,0,0.0010939,0.0062072002,0,0.0073011,0.0186504,167
0.0071916,3.4400262e-05,167,0.0011292,0.0060968,0,0.0011117,0.0061143003,0,0.0010755,0.0061505,0,0.007226,0.018396001,167
0.0073358,3.0899886e-05,167,0.0011293,0.0062374,0,0.0011089,0.0062578004,0,0.0010705,0.0062962,0,0.0073667,0.018822301,167
0.0074178,3.4300145e-05,167,0.0011356,0.0063165,0,0.0011069,0.0063452,0,0.001101,0.0063511003,0,0.0074521,0.0190471,167
0.0074129,4.059961e-05,167,0.0011625,0.0062909997,0,0.0011272,0.0063263,0,0.0011213,0.0063322,0,0.0074535,0.0189901,167
0.0074038,2.6900321e-05,167,0.0010504,0.0063803,0,0.0010807,0.0063500004,0,0.0011018,0.0063289003,0,0.0074307,0.0190861,167
0.0077694,3.390014e-05,167,0.0010986,0.0067047,0,0.0011377,0.0066656,0,0.0011359,0.0066674,0,0.0078033,0.0200716,167
0.007392,2.5699846e-05,167,0.0011043,0.0063134,0,0.0011399,0.0062777996,0,0.0012172,0.0062005,0,0.0074177,0.018817399,167
0.0075465,2.8500333e-05,167,0.0011335,0.0064415,0,0.001108,0.006467,0,0.0011595,0.0064155003,0,0.007575,0.0193525,167
0.0074752,2.7500093e-05,167,0.0011272,0.0063755,0,0.0011196,0.0063831,0,0.0012333,0.0062694,0,0.0075027,0.0190555,167
0.0074711,3.2600015e-05,167,0.0011371,0.0063666,0,0.0011237,0.00638,0,0.0011623,0.0063414,0,0.0075037,0.0191206,167
0.0074888,2.7399976e-05,167,0.001139,0.0063772,0,0.0011674,0.0063488,0,0.0012432,0.006273,0,0.0075162,0.0190264,167
0.007148,2.6499853e-05,167,0.0011342,0.0060403,0,0.0010869,0.0060876,0,0.0011086,0.0060659,0,0.0071745,0.0182203,167
0.0074327,2.3900066e-05,167,0.0010757,0.0063809003,0,0.0010963,0.0063603004,0,0.0010781,0.0063785003,0,0.0074566,0.0191436,167
0.0072887,3.3200253e-05,167,0.0011025,0.0062194,0,0.0010457,0.0062762,0,0.0010768,0.0062451,0,0.0073219,0.0187739,167
0.0071338,2.4599954e-05,167,0.0012354,0.005923,0,0.0011098,0.0060486,0,0.0010775,0.0060809,0,0.0071584,0.0180771,167
0.007295,1.619989e-05,167,0.0010682,0.006243,0,0.0010922,0.0062189996,0,0.0014307,0.0058804997,0,0.0073112,0.018358698,167
0.0077306,4.919991e-05,167,0.0011967,0.0065830997,0,0.0011346,0.0066452,0,0.0011668,0.006613,0,0.0077798,0.019890498,167
0.007452,2.3799948e-05,167,0.0011955,0.0062802997,0,0.0012871,0.0061887,0,0.0018001,0.0056757,0,0.0074758,0.0181685,167
0.0074137,2.6299618e-05,167,0.0011333,0.0063067,0,0.0011377,0.0063023,0,0.0011027,0.0063373,0,0.00744,0.0189726,167
0.0071876,2.8200448e-05,167,0.0010433,0.0061725,0,0.0010531,0.0061627002,0,0.0010266,0.0061892,0,0.0072158,0.018552601,167
0.0072988,2.8699636e-05,167,0.0010667,0.0062607997,0,0.0010816,0.0062459,0,0.0011016,0.0062259,0,0.0073275,0.0187613,167
0.007341,5.2100047e-05,167,0.0010666,0.0063265,0,0.0010791,0.006314,0,0.0010391,0.006354,0,0.0073931,0.0190466,167
0.0073407,2.7799979e-05,167,0.0010711,0.0062973998,0,0.0010827,0.0062857997,0,0.0010494,0.0063191,0,0.0073685,0.0189301,167
0.0073469,2.9799994e-05,167,0.0010837,0.006293,0,0.001095,0.0062817,0,0.0010773,0.0062994002,0,0.0073767,0.0189039,167
0.0074057,2.6999973e-05,167,0.001125,0.0063077,0,0.0011761,0.0062566,0,0.0011259,0.0063068,0,0.0074327,0.0188981,167
0.0080332,3.9000064e-05,167,0.0011486,0.0069236,0,0.0011797,0.0068925004,0,0.0011582,0.006914,0,0.0080722,0.0207691,167
0.0078835,2.5699846e-05,167,0.0012374,0.0066718003,0,0.0013511,0.0065581,0,0.0014194,0.0064898003,0,0.0079092,0.0197454,167
0.0080599,3.1999312e-05,167,0.0012295,0.0068623996,0,0.001166,0.0069258995,0,0.0012112,0.0068806997,0,0.0080919,0.020700999,167
0.0072473,2.8400216e-05,167,0.0011393,0.0061364,0,0.0011065,0.0061692,0,0.0011189,0.0061568003,0,0.0072757,0.0184908,167
0.0073439,4.7000125e-05,167,0.0011012,0.0062897,0,0.001103,0.0062879,0,0.001159,0.0062319003,0,0.0073909,0.0188565,167
0.0072778,1.8300023e-05,167,0.0011303,0.0061657997,0,0.0011088,0.0061872997,0,0.0010717,0.0062244,0,0.0072961,0.0185958,167
0.0071538,2.8799754e-05,167,0.0010751,0.0061075,0,0.0011144,0.0060682,0,0.0010977,0.0060849,0,0.0071826,0.0182894,167
0.0070995,2.609985e-05,167,0.0011001,0.0060254997,0,0.0011275,0.0059980997,0,0.0011201,0.0060054995,0,0.0071256,0.018055199,167
