time_worker_0,idle_time_0,heavy_0,time_worker_1,idle_time_1,heavy_1,time_worker_2,idle_time_2,heavy_2,time_worker_3,idle_time_3,heavy_3,total_chunk_time,total_idle,total_heavy
0.0032069,2.4099834e-05,40,0.0032103,2.0699808e-05,45,0.0032089,2.2099819e-05,41,0.0032089,2.2099819e-05,41,0.003231,8.899928e-05,167
0.0031622,1.269998e-05,42,0.0031611,1.3800105e-05,42,0.0031612,1.3699988e-05,41,0.0031612,1.3699988e-05,42,0.0031749,5.390006e-05,167
0.0030687,1.3699988e-05,42,0.0030657,1.670001e-05,40,0.0030657,1.670001e-05,43,0.0030697,1.269998e-05,42,0.0030824,5.979999e-05,167
0.0031691,2.539996e-05,41,0.0031664,2.8100098e-05,43,0.0031683,2.6199967e-05,43,0.0031691,2.539996e-05,40,0.0031945,0.000105099985,167
0.0031903,1.8700026e-05,42,0.0031899,1.9100029e-05,39,0.0031902,1.879991e-05,43,0.0031899,1.9100029e-05,43,0.003209,7.5699994e-05,167
0.0034728,1.6100006e-05,49,0.0034728,1.6100006e-05,50,0.0034744,1.4499994e-05,46,0.0034743,1.4599878e-05,22,0.0034889,6.1299885e-05,167
0.00311,2.3700064e-05,42,0.0031099,2.3799948e-05,42,0.0031126,2.1100044e-05,42,0.0031099,2.3799948e-05,41,0.0031337,9.2400005e-05,167
0.0031747,3.1200005e-05,42,0.0031737,3.2200012e-05,43,0.0031758,3.0100113e-05,40,0.0031746,3.1300122e-05,42,0.0032059,0.00012480025,167
0.0031313,2.4599954e-05,42,0.0031333,2.259994e-05,42,0.0031301,2.5799964e-05,41,0.003132,2.3899833e-05,42,0.0031559,9.689969e-05,167
0.0031612,5.3699827e-05,42,0.0031616,5.3299824e-05,42,0.0031645,5.0399918e-05,41,0.0031653,4.9599912e-05,42,0.0032149,0.00020699948,167
0.0031185,1.9399915e-05,42,0.0031202,1.7700018e-05,41,0.0031186,1.930003e-05,42,0.003118,1.9900035e-05,42,0.0031379,7.63e-05,167
0.0031475,1.0799849e-05,41,0.0031447,1.3599871e-05,41,0.0031477,1.0599848e-05,43,0.0031466,1.1699973e-05,42,0.0031583,4.669954e-05,167
0.0030949,1.5700003e-05,44,0.0030974,1.3199868e-05,44,0.0030952,1.5399884e-05,41,0.003095,1.5599886e-05,38,0.0031106,5.989964e-05,167
0.0030694,1.1399854e-05,42,0.0030659,1.4899997e-05,42,0.0030687,1.2099976e-05,42,0.0030655,1.53e-05,41,0.0030808,5.3699827e-05,167
0.0030536,1.9799918e-05,42,0.003053,2.0399923e-05,42,0.0030526,2.0799926e-05,42,0.0030554,1.7999904e-05,41,0.0030734,7.899967e-05,167
0.0030698,1.4399877e-05,42,0.0030703,1.3899989e-05,42,0.0030713,1.2899982e-05,42,0.0030679,1.6300008e-05,41,0.0030842,5.7499856e-05,167
0.0031814,2.1599932e-05,41,0.0031835,1.9500032e-05,43,0.0031825,2.050004e-05,41,0.0031854,1.7599901e-05,42,0.003203,7.9199905e-05,167
0.0031856,4.539988e-05,40,0.0031852,4.5799883e-05,42,0.0031853,4.57e-05,43,0.0031852,4.5799883e-05,42,0.003231,0.00018269964,167
0.0030623,2.5300076e-05,43,0.0030647,2.2900058e-05,42,0.0030623,2.5300076e-05,42,0.0030623,2.5300076e-05,40,0.0030876,9.880029e-05,167
0.0031173,3.8699945e-05,37,0.0031157,4.0299958e-05,46,0.003116,4.000007e-05,41,0.003119,3.700005e-05,43,0.003156,0.00015600002,167
0.0030034,1.5900005e-05,42,0.0030039,1.5400117e-05,42,0.003005,1.42999925e-05,42,0.003005,1.42999925e-05,41,0.0030193,5.9900107e-05,167
0.003062,2.1799933e-05,42,0.0030607,2.310006e-05,42,0.0030607,2.310006e-05,41,0.0030607,2.310006e-05,42,0.0030838,9.110011e-05,167
0.0030405,3.6200043e-05,42,0.0030405,3.6200043e-05,42,0.003043,3.370014e-05,41,0.0030406,3.6099926e-05,42,0.0030767,0.00014220015,167
0.0029934,2.8199982e-05,42,0.0029932,2.8399983e-05,42,0.0029937,2.7899863e-05,41,0.0029972,2.4399953e-05,42,0.0030216,0.00010889978,167
0.0031244,3.1899894e-05,43,0.0031259,3.0399999e-05,41,0.0031249,3.1400006e-05,43,0.0031275,2.8799986e-05,40,0.0031563,0.00012249989,167
0.0031486,1.6599894e-05,34,0.0031493,1.5899772e-05,44,0.0031487,1.6499776e-05,45,0.0031493,1.5899772e-05,44,0.0031652,6.489921e-05,167
0.0029653,1.999992e-05,42,0.0029667,1.8600142e-05,43,0.0029679,1.7400132e-05,41,0.0029683,1.700013e-05,41,0.0029853,7.300032e-05,167
0.0027784,1.8900027e-05,42,0.0027812,1.6100006e-05,42,0.0027811,1.619989e-05,42,0.0027777,1.9599916e-05,41,0.0027973,7.079984e-05,167
0.0028058,1.840014e-05,41,0.0028019,2.2300053e-05,42,0.0028047,1.9500032e-05,42,0.0028032,2.100016e-05,42,0.0028242,8.1200385e-05,167
0.0027951,1.6400125e-05,43,0.0027963,1.5200116e-05,42,0.0027966,1.4899997e-05,43,0.0027955,1.6000122e-05,39,0.0028115,6.250036e-05,167
0.0028258,1.8599909e-05,42,0.0028286,1.580012e-05,42,0.0028296,1.4800113e-05,42,0.0028267,1.7700018e-05,41,0.0028444,6.690016e-05,167
0.002869,1.5400117e-05,43,0.0028658,1.8600142e-05,41,0.0028697,1.46999955e-05,42,0.0028701,1.42999925e-05,41,0.0028844,6.300025e-05,167
0.0028159,1.5099999e-05,42,0.0028159,1.5099999e-05,41,0.002814,1.6999897e-05,42,0.002814,1.6999897e-05,42,0.002831,6.419979e-05,167
0.0027447,1.5599886e-05,42,0.0027459,1.4399877e-05,41,0.0027466,1.3699988e-05,43,0.0027467,1.3599871e-05,41,0.0027603,5.729962e-05,167
0.0030894,1.8399907e-05,44,0.0030887,1.9100029e-05,38,0.0030851,2.2699824e-05,44,0.0030897,1.8100021e-05,41,0.0031078,7.829978e-05,167
0.0028569,1.8199906e-05,41,0.0028585,1.6599894e-05,41,0.0028601,1.4999881e-05,43,0.0028612,1.3899989e-05,42,0.0028751,6.369967e-05,167
0.002927,3.1700125e-05,41,0.0029289,2.9799994e-05,43,0.0029269,3.180001e-05,42,0.0029237,3.5000034e-05,41,0.0029587,0.00012830016,167
0.0028497,1.9500032e-05,42,0.0028495,1.9700034e-05,42,0.0028476,2.1599932e-05,42,0.0028488,2.0399923e-05,41,0.0028692,8.119992e-05,167
0.0028211,2.1300046e-05,43,0.0028217,2.0700041e-05,41,0.0028217,2.0700041e-05,41,0.0028193,2.310006e-05,42,0.0028424,8.580019e-05,167
0.0029074,2.190005e-05,44,0.0029023,2.6999973e-05,43,0.0029066,2.2700056e-05,43,0.0029044,2.4900073e-05,37,0.0029293,9.650015e-05,167
0.002894,2.0000152e-05,43,0.0028913,2.2700056e-05,42,0.0028962,1.7800136e-05,41,0.0028927,2.1300046e-05,41,0.002914,8.180039e-05,167
0.0028825,1.9900035e-05,41,0.0028788,2.3599947e-05,43,0.0028787,2.3700064e-05,41,0.0028811,2.1300046e-05,42,0.0029024,8.850009e-05,167
0.0029731,2.0200154e-05,44,0.0029712,2.2100052e-05,43,0.0029695,2.3800181e-05,43,0.0029725,2.0800158e-05,37,0.0029933,8.6900545e-05,167
0.0028889,2.0999927e-05,43,0.0028869,2.2999942e-05,41,0.0028876,2.229982e-05,41,0.0028853,2.4599954e-05,42,0.0029099,9.0899644e-05,167
0.0029828,2.1700049e-05,44,0.0029816,2.2900058e-05,43,0.0029822,2.2300053e-05,43,0.0029833,2.1199929e-05,37,0.0030045,8.810009e-05,167
0.0028742,1.9100029e-05,41,0.00287,2.3300061e-05,43,0.0028697,2.3599947e-05,41,0.0028718,2.1500047e-05,42,0.0028933,8.7500084e-05,167
0.0029223,1.5700003e-05,41,0.0029192,1.879991e-05,43,0.0029214,1.6600126e-05,41,0.0029218,1.6200123e-05,42,0.002938,6.730016e-05,167
0.0030228,1.5000114e-05,44,0.0030225,1.53e-05,38,0.0030189,1.8900027e-05,44,0.003022,1.580012e-05,41,0.0030378,6.500026e-05,167
0.0029569,1.6300008e-05,42,0.0029575,1.5700003e-05,42,0.0029584,1.4800113e-05,42,0.002961,1.2200093e-05,41,0.0029732,5.9000216e-05,167
0.0030617,1.960015e-05,44,0.0030607,2.0600157e-05,38,0.0030615,1.980015e-05,44,0.0030618,1.9500032e-05,41,0.0030813,7.950049e-05,167
0.0029519,1.670001e-05,42,0.0029555,1.3099983e-05,42,0.002952,1.6600126e-05,42,0.0029511,1.7500017e-05,41,0.0029686,6.390014e-05,167
0.0029649,1.6999897e-05,42,0.0029661,1.580012e-05,41,0.0029655,1.6399892e-05,42,0.0029661,1.580012e-05,42,0.0029819,6.500003e-05,167
0.0031064,1.7300015e-05,44,0.0031089,1.479988e-05,38,0.0031076,1.6100006e-05,44,0.0031087,1.4999881e-05,41,0.0031237,6.319978e-05,167
0.0030392,1.3099983e-05,42,0.0030407,1.1600088e-05,42,0.0030392,1.3099983e-05,42,0.0030362,1.6100006e-05,41,0.0030523,5.390006e-05,167
0.0031087,1.8599909e-05,43,0.0031099,1.73999e-05,39,0.0031121,1.5199883e-05,44,0.0031114,1.5900005e-05,41,0.0031273,6.7099696e-05,167
0.0029629,1.879991e-05,43,0.0029657,1.5999889e-05,41,0.0029642,1.7500017e-05,42,0.0029648,1.6900012e-05,41,0.0029817,6.919983e-05,167
0.0031624,3.0899886e-05,41,0.0031668,2.6500085e-05,42,0.0031624,3.0899886e-05,42,0.0031795,1.3799872e-05,42,0.0031933,0.00010209973,167
0.0031449,2.5199959e-05,38,0.0031444,2.570008e-05,45,0.0031423,2.7799979e-05,45,0.0031407,2.9399991e-05,39,0.0031701,0.00010810001,167
0.0031437,1.0399846e-05,41,0.0031419,1.219986e-05,41,0.0031462,7.899944e-06,43,0.0031466,7.4999407e-06,42,0.0031541,3.799959e-05,167
0.0031199,1.7700018e-05,41,0.0031223,1.53e-05,42,0.0031184,1.9199913e-05,42,0.0031234,1.4199875e-05,42,0.0031376,6.639981e-05,167
0.0031232,1.3399869e-05,42,0.0031218,1.479988e-05,42,0.0031191,1.7500017e-05,41,0.0031236,1.2999866e-05,42,0.0031366,5.8699632e-05,167
0.003134,1.4499994e-05,42,0.0031328,1.5700003e-05,42,0.0031352,1.3300218e-05,42,0.0031351,1.3400102e-05,41,0.0031485,5.6900317e-05,167
0.0030793,1.650001e-05,38,0.0030771,1.8700026e-05,43,0.00308,1.580012e-05,43,0.0030793,1.650001e-05,43,0.0030958,6.7500165e-05,167
0.0027954,1.7999904e-05,42,0.0027989,1.4499994e-05,42,0.0027951,1.8300023e-05,41,0.0027984,1.5000114e-05,42,0.0028134,6.5800035e-05,167
0.0028164,1.6399892e-05,42,0.0028167,1.6100006e-05,43,0.0028154,1.73999e-05,42,0.0028147,1.8100021e-05,40,0.0028328,6.799982e-05,167
0.0028469,1.1900207e-05,42,0.0028437,1.5100231e-05,42,0.0028426,1.6200123e-05,41,0.0028454,1.3400102e-05,42,0.0028588,5.6600664e-05,167
0.0028752,1.7700018e-05,41,0.0028749,1.8000137e-05,43,0.0028757,1.7200131e-05,41,0.0028738,1.9100029e-05,42,0.0028929,7.2000315e-05,167
0.0028549,2.050004e-05,42,0.0028559,1.9500032e-05,42,0.0028524,2.2999942e-05,42,0.0028553,2.0100037e-05,41,0.0028754,8.310005e-05,167
0.0027235,2.1700049e-05,42,0.0027254,1.9799918e-05,42,0.0027216,2.3599947e-05,42,0.0027235,2.1700049e-05,41,0.0027452,8.679996e-05,167
0.0027997,2.0799926e-05,44,0.0028021,1.8399907e-05,43,0.0028017,1.879991e-05,42,0.0027996,2.0900043e-05,38,0.0028205,7.8899786e-05,167
0.0027575,2.4200184e-05,41,0.0027601,2.1600164e-05,43,0.0027585,2.3200177e-05,41,0.0027609,2.0800158e-05,42,0.0027817,8.9800684e-05,167
